source,target,relation
concept:10,synset:00699207-a,mapped_to_synset
concept:10,domain:adj.all,belongs_to_domain
concept:100,synset:00041899-n,mapped_to_synset
concept:100,domain:noun.act,belongs_to_domain
concept:1000,synset:00216038-n,mapped_to_synset
concept:1000,domain:noun.act,belongs_to_domain
concept:10000,synset:01988701-n,mapped_to_synset
concept:10000,domain:noun.animal,belongs_to_domain
concept:100000,synset:01497458-v,mapped_to_synset
concept:100000,domain:verb.contact,belongs_to_domain
concept:100001,synset:01497634-v,mapped_to_synset
concept:100001,domain:verb.contact,belongs_to_domain
concept:100002,synset:01497750-v,mapped_to_synset
concept:100002,domain:verb.contact,belongs_to_domain
concept:100003,synset:01497864-v,mapped_to_synset
concept:100003,domain:verb.contact,belongs_to_domain
concept:100004,synset:01498005-v,mapped_to_synset
concept:100004,domain:verb.contact,belongs_to_domain
concept:100005,synset:01498166-v,mapped_to_synset
concept:100005,domain:verb.contact,belongs_to_domain
concept:100007,synset:01498319-v,mapped_to_synset
concept:100007,domain:verb.contact,belongs_to_domain
concept:100008,synset:01498498-v,mapped_to_synset
concept:100008,domain:verb.contact,belongs_to_domain
concept:100009,synset:01498615-v,mapped_to_synset
concept:100009,domain:verb.contact,belongs_to_domain
concept:10001,synset:01988869-n,mapped_to_synset
concept:10001,domain:noun.animal,belongs_to_domain
concept:100010,synset:01498713-v,mapped_to_synset
concept:100010,domain:verb.contact,belongs_to_domain
concept:100011,synset:01498872-v,mapped_to_synset
concept:100011,domain:verb.contact,belongs_to_domain
concept:100012,synset:01499006-v,mapped_to_synset
concept:100012,domain:verb.contact,belongs_to_domain
concept:100013,synset:01499137-v,mapped_to_synset
concept:100013,domain:verb.contact,belongs_to_domain
concept:100014,synset:01499265-v,mapped_to_synset
concept:100014,domain:verb.contact,belongs_to_domain
concept:100015,synset:01499510-v,mapped_to_synset
concept:100015,domain:verb.contact,belongs_to_domain
concept:100016,synset:01499692-v,mapped_to_synset
concept:100016,domain:verb.contact,belongs_to_domain
concept:100017,synset:01499849-v,mapped_to_synset
concept:100017,domain:verb.contact,belongs_to_domain
concept:100018,synset:01499948-v,mapped_to_synset
concept:100018,domain:verb.contact,belongs_to_domain
concept:100019,synset:01500082-v,mapped_to_synset
concept:100019,domain:verb.contact,belongs_to_domain
concept:10002,synset:01988971-n,mapped_to_synset
concept:10002,domain:noun.animal,belongs_to_domain
concept:100020,synset:01500214-v,mapped_to_synset
