id,type,concept_id,wn30_id,domain,language,text,char,ipa,audio_path,char_type,case
concept:10,Concept,10,,,,,,,,,
synset:00699207-a,Synset,,00699207-a,,,,,,,,
domain:adj.all,Domain,,,adj.all,,,,,,,
concept:100,Concept,100,,,,,,,,,
synset:00041899-n,Synset,,00041899-n,,,,,,,,
domain:noun.act,Domain,,,noun.act,,,,,,,
concept:1000,Concept,1000,,,,,,,,,
synset:00216038-n,Synset,,00216038-n,,,,,,,,
concept:10000,Concept,10000,,,,,,,,,
synset:01988701-n,Synset,,01988701-n,,,,,,,,
domain:noun.animal,Domain,,,noun.animal,,,,,,,
concept:100000,Concept,100000,,,,,,,,,
synset:01497458-v,Synset,,01497458-v,,,,,,,,
domain:verb.contact,Domain,,,verb.contact,,,,,,,
concept:100001,Concept,100001,,,,,,,,,
synset:01497634-v,Synset,,01497634-v,,,,,,,,
concept:100002,Concept,100002,,,,,,,,,
synset:01497750-v,Synset,,01497750-v,,,,,,,,
concept:100003,Concept,100003,,,,,,,,,
synset:01497864-v,Synset,,01497864-v,,,,,,,,
concept:100004,Concept,100004,,,,,,,,,
synset:01498005-v,Synset,,01498005-v,,,,,,,,
concept:100005,Concept,100005,,,,,,,,,
synset:01498166-v,Synset,,01498166-v,,,,,,,,
concept:100007,Concept,100007,,,,,,,,,
synset:01498319-v,Synset,,01498319-v,,,,,,,,
concept:100008,Concept,100008,,,,,,,,,
synset:01498498-v,Synset,,01498498-v,,,,,,,,
concept:100009,Concept,100009,,,,,,,,,
synset:01498615-v,Synset,,01498615-v,,,,,,,,
concept:10001,Concept,10001,,,,,,,,,
synset:01988869-n,Synset,,01988869-n,,,,,,,,
concept:100010,Concept,100010,,,,,,,,,
synset:01498713-v,Synset,,01498713-v,,,,,,,,
concept:100011,Concept,100011,,,,,,,,,
synset:01498872-v,Synset,,01498872-v,,,,,,,,
concept:100012,Concept,100012,,,,,,,,,
synset:01499006-v,Synset,,01499006-v,,,,,,,,
concept:100013,Concept,100013,,,,,,,,,
synset:01499137-v,Synset,,01499137-v,,,,,,,,
concept:100014,Concept,100014,,,,,,,,,
synset:01499265-v,Synset,,01499265-v,,,,,,,,
concept:100015,Concept,100015,,,,,,,,,
synset:01499510-v,Synset,,01499510-v,,,,,,,,
concept:100016,Concept,100016,,,,,,,,,
synset:01499692-v,Synset,,01499692-v,,,,,,,,
concept:100017,Concept,100017,,,,,,,,,
synset:01499849-v,Synset,,01499849-v,,,,,,,,
concept:100018,Concept,100018,,,,,,,,,
synset:01499948-v,Synset,,01499948-v,,,,,,,,
concept:100019,Concept,100019,,,,,,,,,
synset:01500082-v,Synset,,01500082-v,,,,,,,,
concept:10002,Concept,10002,,,,,,,,,
synset:01988971-n,Synset,,01988971-n,,,,,,,,
concept:100020,Concept,100020,,,,,,,,,
synset:01500214-v,Synset,,01500214-v,,,,,,,,
concept:100021,Concept,100021,,,,,,,,,
synset:01500372-v,Synset,,01500372-v,,,,,,,,
concept:100022,Concept,100022,,,,,,,,,
synset:01500572-v,Synset,,01500572-v,,,,,,,,
concept:100023,Concept,100023,,,,,,,,,
synset:01500873-v,Synset,,01500873-v,,,,,,,,
concept:100024,Concept,100024,,,,,,,,,
synset:01501184-v,Synset,,01501184-v,,,,,,,,
concept:100025,Concept,100025,,,,,,,,,
synset:01501347-v,Synset,,01501347-v,,,,,,,,
concept:100026,Concept,100026,,,,,,,,,
synset:01501575-v,Synset,,01501575-v,,,,,,,,
concept:100027,Concept,100027,,,,,,,,,
synset:01501676-v,Synset,,01501676-v,,,,,,,,
concept:100028,Concept,100028,,,,,,,,,
synset:01501793-v,Synset,,01501793-v,,,,,,,,
concept:100029,Concept,100029,,,,,,,,,
synset:01501960-v,Synset,,01501960-v,,,,,,,,
concept:10003,Concept,10003,,,,,,,,,
synset:01989097-n,Synset,,01989097-n,,,,,,,,
concept:100030,Concept,100030,,,,,,,,,
synset:01502122-v,Synset,,01502122-v,,,,,,,,
concept:100031,Concept,100031,,,,,,,,,
synset:01502279-v,Synset,,01502279-v,,,,,,,,
concept:100032,Concept,100032,,,,,,,,,
synset:01502441-v,Synset,,01502441-v,,,,,,,,
concept:100033,Concept,100033,,,,,,,,,
synset:01502540-v,Synset,,01502540-v,,,,,,,,
concept:100034,Concept,100034,,,,,,,,,
synset:01502654-v,Synset,,01502654-v,,,,,,,,
concept:100035,Concept,100035,,,,,,,,,
synset:01502762-v,Synset,,01502762-v,,,,,,,,
concept:100036,Concept,100036,,,,,,,,,
synset:01502946-v,Synset,,01502946-v,,,,,,,,
concept:100037,Concept,100037,,,,,,,,,
synset:01503101-v,Synset,,01503101-v,,,,,,,,
concept:100038,Concept,100038,,,,,,,,,
synset:01503268-v,Synset,,01503268-v,,,,,,,,
concept:100039,Concept,100039,,,,,,,,,
synset:01503404-v,Synset,,01503404-v,,,,,,,,
concept:10004,Concept,10004,,,,,,,,,
synset:01989254-n,Synset,,01989254-n,,,,,,,,
concept:100040,Concept,100040,,,,,,,,,
synset:01503736-v,Synset,,01503736-v,,,,,,,,
concept:100041,Concept,100041,,,,,,,,,
synset:01503841-v,Synset,,01503841-v,,,,,,,,
concept:100042,Concept,100042,,,,,,,,,
synset:01503952-v,Synset,,01503952-v,,,,,,,,
concept:100043,Concept,100043,,,,,,,,,
synset:01504130-v,Synset,,01504130-v,,,,,,,,
concept:100044,Concept,100044,,,,,,,,,
synset:01504298-v,Synset,,01504298-v,,,,,,,,
concept:100045,Concept,100045,,,,,,,,,
synset:01504480-v,Synset,,01504480-v,,,,,,,,
concept:100046,Concept,100046,,,,,,,,,
synset:01504699-v,Synset,,01504699-v,,,,,,,,
concept:100047,Concept,100047,,,,,,,,,
synset:01504910-v,Synset,,01504910-v,,,,,,,,
concept:100048,Concept,100048,,,,,,,,,
synset:01439784-a,Synset,,01439784-a,,,,,,,,
concept:100049,Concept,100049,,,,,,,,,
synset:01505254-v,Synset,,01505254-v,,,,,,,,
concept:10005,Concept,10005,,,,,,,,,
synset:01989390-n,Synset,,01989390-n,,,,,,,,
concept:100050,Concept,100050,,,,,,,,,
synset:01505958-v,Synset,,01505958-v,,,,,,,,
concept:100051,Concept,100051,,,,,,,,,
synset:01506157-v,Synset,,01506157-v,,,,,,,,
concept:100052,Concept,100052,,,,,,,,,
synset:01506583-v,Synset,,01506583-v,,,,,,,,
concept:100053,Concept,100053,,,,,,,,,
synset:01506812-v,Synset,,01506812-v,,,,,,,,
concept:100054,Concept,100054,,,,,,,,,
synset:01507006-v,Synset,,01507006-v,,,,,,,,
concept:100055,Concept,100055,,,,,,,,,
synset:01507143-v,Synset,,01507143-v,,,,,,,,
concept:100056,Concept,100056,,,,,,,,,
synset:01507407-v,Synset,,01507407-v,,,,,,,,
concept:100057,Concept,100057,,,,,,,,,
synset:01507596-v,Synset,,01507596-v,,,,,,,,
concept:100058,Concept,100058,,,,,,,,,
synset:01507792-v,Synset,,01507792-v,,,,,,,,
concept:100059,Concept,100059,,,,,,,,,
synset:01507914-v,Synset,,01507914-v,,,,,,,,
concept:10006,Concept,10006,,,,,,,,,
synset:01989516-n,Synset,,01989516-n,,,,,,,,
concept:100060,Concept,100060,,,,,,,,,
synset:01508166-v,Synset,,01508166-v,,,,,,,,
concept:100061,Concept,100061,,,,,,,,,
synset:01508268-v,Synset,,01508268-v,,,,,,,,
concept:100062,Concept,100062,,,,,,,,,
synset:01508368-v,Synset,,01508368-v,,,,,,,,
concept:100063,Concept,100063,,,,,,,,,
synset:01508884-v,Synset,,01508884-v,,,,,,,,
concept:100064,Concept,100064,,,,,,,,,
synset:01509079-v,Synset,,01509079-v,,,,,,,,
concept:100065,Concept,100065,,,,,,,,,
synset:01509280-v,Synset,,01509280-v,,,,,,,,
concept:100066,Concept,100066,,,,,,,,,
synset:01509492-v,Synset,,01509492-v,,,,,,,,
concept:100067,Concept,100067,,,,,,,,,
synset:01509584-v,Synset,,01509584-v,,,,,,,,
concept:100068,Concept,100068,,,,,,,,,
synset:01509824-v,Synset,,01509824-v,,,,,,,,
