Type,Character,Additional_Form,IPA,Transliteration,Audio
Long_Vowel,ا,ـا,/aː/,a,alif.mp3
Long_Vowel,و,ـو,/uː/,ou,waw.mp3
Long_Vowel,ي,ـي,/iː/,i,ya.mp3
Consonant,ء,ـئـ,/ʔ/,2,hamza.mp3
Consonant,ب,ـبـ,/b/,b,ba.mp3
Consonant,ت,ـتـ,/t/,t,ta.mp3
Consonant,ث,ـثـ,/t/,t,tha.mp3
Consonant,ج,ـجـ,/ʒ/,j,jim.mp3
Consonant,ح,ـحـ,/ħ/,7,7a.mp3
Consonant,خ,ـخـ,/x/,kh,kha.mp3
Consonant,د,ـد,/d/,d,dal.mp3
Consonant,ذ,ـذ,/d/,d,dhal.mp3
Consonant,ر,ـر,/r/,r,ra.mp3
Consonant,ز,ـز,/z/,z,zay.mp3
Consonant,س,ـسـ,/s/,s,sin.mp3
Consonant,ش,ـشـ,/ʃ/,ch,shin.mp3
Consonant,ص,ـصـ,/sˤ/,S,sad.mp3
Consonant,ض,ـضـ,/dˤ/,D,dad.mp3
Consonant,ط,ـطـ,/tˤ/,T,ta_emph.mp3
Consonant,ظ,ـظـ,/dˤ/,D,dha_emph.mp3
Consonant,ع,ـعـ,/ʕ/,3,3ayn.mp3
Consonant,غ,ـغـ,/ɣ/,gh,ghayn.mp3
Consonant,ف,ـفـ,/f/,f,fa.mp3
Consonant,ق,ـقـ,/q/,q,qaf.mp3
Consonant,ك,ـكـ,/k/,k,kaf.mp3
Consonant,ل,ـلـ,/l/,l,lam.mp3
Consonant,م,ـمـ,/m/,m,mim.mp3
Consonant,ن,ـنـ,/n/,n,nun.mp3
Consonant,ه,ـهـ,/h/,h,ha.mp3
Consonant,و,ـو,/w/,w,waw_cons.mp3
Consonant,ي,ـيـ,/j/,y,ya_cons.mp3
Darija_Letter,گ,ـگـ,/g/,g,gaf.mp3
Darija_Letter,پ,ـپـ,/p/,p,pa.mp3
Darija_Letter,ڤ,ـڤـ,/v/,v,va.mp3
Darija_Letter,چ,ـچـ,/t͡ʃ/,tch,tcha.mp3
