WN_30_id	UKC_local_concept_id
00001740-a	106285
00002098-a	73764
00002312-a	73765
00002527-a	73766
00002730-a	73767
00002843-a	73768
00002956-a	73769
00003131-a	73770
00003356-a	73771
00003553-a	73772
00003700-a	73773
00003829-a	73774
00003939-a	73775
00004171-a	73776
00004296-a	106302
00004413-a	73778
00004615-a	73779
00004723-a	73780
00004817-a	73781
00004980-a	73782
00005107-a	73783
00005205-a	73784
00005473-a	73786
00005599-a	73787
00005718-a	73789
00005839-a	73790
00006032-a	73791
00006245-a	73793
00006336-a	73794
00006777-a	73795
00006885-a	73796
00007096-a	73797
00007208-a	73798
00007331-a	73799
00007516-a	73800
00007697-a	73801
00007813-a	73802
00007990-a	73803
00008206-a	73804
00008443-a	73805
00008595-a	73806
00008734-a	73807
00008877-a	73809
00009046-a	73811
00009346-a	73812
00009618-a	73813
00009978-a	73814
00010385-a	73815
00010537-a	73816
00010726-a	73817
00011160-a	73818
00011327-a	73819
00011665-a	73820
00011757-a	73821
00012071-a	73822
00012362-a	73823
00012689-a	73824
00012932-a	88720
00013160-a	73825
00013442-a	73827
00013662-a	73828
00013887-a	73829
00014358-a	73830
00014490-a	73831
00014858-a	73833
00015097-a	73834
00015247-a	73835
00015480-a	73836
00015589-a	73837
00015720-a	73838
00015854-a	73839
00016005-a	73840
00016135-a	73841
00016247-a	73842
00016350-a	73843
00016532-a	73844
00016647-a	73845
00016756-a	73847
00017024-a	73848
00017186-a	73849
00017352-a	73850
00017509-a	73851
00017688-a	73852
00017782-a	73853
00018069-a	73854
00018222-a	73855
00018435-a	73856
00018584-a	73857
00018850-a	73858
00019131-a	73864
00019349-a	73865
00019505-a	73866
00019731-a	73867
00019874-a	73869
00020103-a	73870
00020241-a	73872
00020410-a	73874
00020647-a	73875
00020787-a	73876
00021110-a	73877
00021403-a	73878
00021592-a	106402
00021766-a	73880
00022219-a	73881
00022437-a	73882
00022680-a	73883
00022852-a	73884
00022962-a	73885
00023120-a	73886
00023278-a	73887
00023383-a	73888
00023655-a	73889
00023854-a	73890
00024139-a	73891
00024241-a	73892
00024417-a	73893
00024619-a	73894
00024834-a	73895
00024996-a	73896
00025138-a	73897
00025238-a	73898
00025470-a	73899
00025633-a	73900
00025728-a	73901
00026051-a	73902
00026168-a	73903
00026294-a	73904
00026388-a	73905
00026515-a	73906
00026706-a	73907
00026895-a	73908
00027074-a	73909
00027247-a	73910
00027599-a	73911
00027833-a	73912
00028008-a	73913
00028181-a	73914
00028280-a	73915
00028471-a	73916
00028672-a	73917
00028867-a	73919
00028984-a	73920
00029108-a	73921
00029216-a	73922
00029343-a	73923
