concept_id,part_of_speech,lemmas,arabizi,english_lemmas,gloss,english_gloss
2,1,اسم | اسمية,smia,name,NO_GLOSS,a language unit by which a person or thing is known
41,1,ماكلة,makla,food | nutrient,NO_GLOSS,any substance that can be metabolized by an organism to give energy and build tissue
608,1,بوسة,,buss | kiss | osculation,NO_GLOSS,the act of caressing with the lips (or an instance thereof)
3070,1,نجارة,,carpentry | woodwork | woodworking,NO_GLOSS,the craft of a carpenter: making things out of wood
6113,1,عْوين,mosa3ada,aid | assist | assistance | help,NO_GLOSS,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
6264,1,انتقام,,retaliation | revenge,NO_GLOSS,action taken in return for an injury or offense
7183,1,بيض | بيضة,biDa,egg,NO_GLOSS,animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
8906,1,فروج,ferrouj,cock | rooster,NO_GLOSS,adult male chicken
8910,1,دْجاجة,,biddy | hen,NO_GLOSS,adult female chicken
9746,1,بَبُّوش | حلزون‎ | غلالة,brbouch,snail,NO_GLOSS,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
11425,1,سراق الزيت,boj3ran,cockroach | roach,NO_GLOSS,any of numerous chiefly nocturnal insects; some are domestic pests
12339,1,بغل | بغلة,,hinny,NO_GLOSS,hybrid offspring of a male horse and a female donkey or ass; usually sterile
12370,1,حْليّف,,piggy | piglet | shoat | shote,NO_GLOSS,a young pig
12403,1,بهايم | كسيبة,b8ima,bos taurus | cattle | cows | kine | oxen,NO_GLOSS,domesticated bovine animals as a group regardless of sex or age
12408,1,بقرة,bgra,cow | moo-cow,NO_GLOSS,female of domestic cattle
12466,1,حولي | خروف | خروفة | نعجة,,lamb,NO_GLOSS,young sheep
14341,1,طارو,,ash-bin | ash bin | ashbin | ashcan | dustbin | garbage can | trash barrel | trash bin | trash can | wastebin,NO_GLOSS,a bin that holds rubbish until it is collected
14494,1,خنشة,mi7faDa,bag,NO_GLOSS,a flexible container with a single opening
14498,1,بكاج,,baggage | luggage,NO_GLOSS,a case used to carry belongings when traveling
14764,1,ناموسية,namousia,bed,NO_GLOSS,a piece of furniture that provides a place to sleep
15004,1,فلوكة,flouka,boat,NO_GLOSS,a small vessel for travel on water
15170,1,بريمة | تورنو,,bitstock | brace,NO_GLOSS,a carpenter's tool having a crank handle for turning and a socket to hold a bit for boring
15388,1,برنوص,,burnoose | burnous | burnouse,NO_GLOSS,a long hooded cloak woven of wool in one piece; worn by Arabs and Moors
15422,1,صدفة,boton,button,NO_GLOSS,a round fastener sewn to shirts and coats etc to fit through buttonholes
16023,1,ݣرو,,butt | cigaret | cigarette | coffin nail | fag,NO_GLOSS,finely ground tobacco wrapped in paper; for smoking
16118,1,مݣانة,magana,clock,NO_GLOSS,a timepiece that shows the time of day
16183,1,علاقة,,clothes hanger | coat hanger | dress hanger,NO_GLOSS,a hanger that is shaped like a person's shoulders and used to hang garments on
16280,1,مشطة,mchTa,comb,NO_GLOSS,a flat device with narrow pointed teeth on one edge; disentangles or arranges hair
