Source (Path),Target (Instance),Relationship
Same Age - Male - Neutral - Male spk,Instance_5759a5,HAS_PRONOUN
Same Age - Male - Neutral - Male spk,Instance_05e020,HAS_PRONOUN
Same Age - Male - Neutral - Male spk,Instance_067a7c,HAS_PRONOUN
Same Age - Male - Neutral - Male spk,Instance_3d370c,HAS_PRONOUN
Same Age - Male - Neutral - Male spk,Instance_b90991,HAS_PRONOUN
Same Age - Male - Neutral - Male spk,Instance_84ab1e,HAS_PRONOUN
Same Age - Male - Neutral - Female spk,Instance_5759a5,HAS_PRONOUN
Same Age - Male - Neutral - Female spk,Instance_05e020,HAS_PRONOUN
Same Age - Male - Neutral - Female spk,Instance_067a7c,HAS_PRONOUN
Same Age - Male - Neutral - Female spk,Instance_3d370c,HAS_PRONOUN
Same Age - Male - Neutral - Female spk,Instance_b90991,HAS_PRONOUN
Same Age - Male - Neutral - Female spk,Instance_84ab1e,HAS_PRONOUN
Same Age - Female - Neutral - Male spk,Instance_5759a5,HAS_PRONOUN
Same Age - Female - Neutral - Male spk,Instance_05e020,HAS_PRONOUN
Same Age - Female - Neutral - Male spk,Instance_067a7c,HAS_PRONOUN
Same Age - Female - Neutral - Male spk,Instance_3d370c,HAS_PRONOUN
Same Age - Female - Neutral - Male spk,Instance_b90991,HAS_PRONOUN
Same Age - Female - Neutral - Male spk,Instance_55ccd5,HAS_PRONOUN
Same Age - Female - Neutral - Female spk,Instance_5759a5,HAS_PRONOUN
Same Age - Female - Neutral - Female spk,Instance_05e020,HAS_PRONOUN
Same Age - Female - Neutral - Female spk,Instance_067a7c,HAS_PRONOUN
Same Age - Female - Neutral - Female spk,Instance_3d370c,HAS_PRONOUN
Same Age - Female - Neutral - Female spk,Instance_b90991,HAS_PRONOUN
Same Age - Female - Neutral - Female spk,Instance_55ccd5,HAS_PRONOUN
Same Age - Male - Informal - Male spk,Instance_d67089,HAS_PRONOUN
Same Age - Male - Informal - Male spk,Instance_8621ee,HAS_PRONOUN
Same Age - Male - Informal - Female spk,Instance_d67089,HAS_PRONOUN
Same Age - Male - Informal - Female spk,Instance_8621ee,HAS_PRONOUN
Same Age - Female - Informal - Male spk,Instance_d67089,HAS_PRONOUN
Same Age - Female - Informal - Male spk,Instance_8621ee,HAS_PRONOUN
Same Age - Female - Informal - Female spk,Instance_d67089,HAS_PRONOUN
Same Age - Female - Informal - Female spk,Instance_8621ee,HAS_PRONOUN
Same Age - Male - Formal - Male spk,Instance_30cc96,HAS_PRONOUN
Same Age - Male - Formal - Male spk,Instance_c90d8c,HAS_PRONOUN
Same Age - Male - Formal - Female spk,Instance_30cc96,HAS_PRONOUN
Same Age - Male - Formal - Female spk,Instance_c90d8c,HAS_PRONOUN
Same Age - Female - Formal - Male spk,Instance_30cc96,HAS_PRONOUN
Same Age - Female - Formal - Male spk,Instance_c90d8c,HAS_PRONOUN
Same Age - Female - Formal - Female spk,Instance_30cc96,HAS_PRONOUN
Same Age - Female - Formal - Female spk,Instance_c90d8c,HAS_PRONOUN
Younger - Male - Neutral - Male spk,Instance_768d8e,HAS_PRONOUN
Younger - Male - Neutral - Male spk,Instance_7714c3,HAS_PRONOUN
Younger - Male - Neutral - Male spk,Instance_7c5648,HAS_PRONOUN
Younger - Male - Neutral - Male spk,Instance_0fad4c,HAS_PRONOUN
Younger - Male - Neutral - Male spk,Instance_6cd453,HAS_PRONOUN
Younger - Male - Neutral - Female spk,Instance_768d8e,HAS_PRONOUN
Younger - Male - Neutral - Female spk,Instance_7714c3,HAS_PRONOUN
Younger - Male - Neutral - Female spk,Instance_7c5648,HAS_PRONOUN
Younger - Male - Neutral - Female spk,Instance_0fad4c,HAS_PRONOUN
Younger - Female - Neutral - Male spk,Instance_768d8e,HAS_PRONOUN
Younger - Female - Neutral - Male spk,Instance_037d4a,HAS_PRONOUN
Younger - Female - Neutral - Male spk,Instance_06d991,HAS_PRONOUN
Younger - Female - Neutral - Male spk,Instance_0fad4c,HAS_PRONOUN
Younger - Female - Neutral - Female spk,Instance_768d8e,HAS_PRONOUN
Younger - Female - Neutral - Female spk,Instance_037d4a,HAS_PRONOUN
Younger - Female - Neutral - Female spk,Instance_06d991,HAS_PRONOUN
Younger - Female - Neutral - Female spk,Instance_0fad4c,HAS_PRONOUN
Younger - Female - Neutral - Female spk,Instance_4de0df,HAS_PRONOUN
Younger - Male - Informal - Male spk,Instance_d56265,HAS_PRONOUN
Younger - Male - Informal - Female spk,Instance_d56265,HAS_PRONOUN
Younger - Female - Informal - Male spk,Instance_d56265,HAS_PRONOUN
Younger - Female - Informal - Female spk,Instance_d56265,HAS_PRONOUN
Older (same gen) - Male - Neutral - Male spk,Instance_002cc4,HAS_PRONOUN
