Node ID,Node Type,Language,Term (I/Me),Term (You)
Same Age - Exactly same age - Male - Neutral - Male spk,schema_path,N/A,N/A,N/A
Same Age - Exactly same age - Male - Neutral - Female spk,schema_path,N/A,N/A,N/A
Same Age - Exactly same age - Female - Neutral - Male spk,schema_path,N/A,N/A,N/A
Same Age - Exactly same age - Female - Neutral - Female spk,schema_path,N/A,N/A,N/A
Same Age - Exactly same age - Male - Informal - Male spk,schema_path,N/A,N/A,N/A
Same Age - Exactly same age - Male - Informal - Female spk,schema_path,N/A,N/A,N/A
Same Age - Exactly same age - Female - Informal - Male spk,schema_path,N/A,N/A,N/A
Same Age - Exactly same age - Female - Informal - Female spk,schema_path,N/A,N/A,N/A
Same Age - Exactly same age - Male - Formal - Male spk,schema_path,N/A,N/A,N/A
Same Age - Exactly same age - Male - Formal - Female spk,schema_path,N/A,N/A,N/A
Same Age - Exactly same age - Female - Formal - Male spk,schema_path,N/A,N/A,N/A
Same Age - Exactly same age - Female - Formal - Female spk,schema_path,N/A,N/A,N/A
Younger - Younger (same gen) - Male - Neutral - Male spk,schema_path,N/A,N/A,N/A
Younger - Younger (same gen) - Male - Neutral - Female spk,schema_path,N/A,N/A,N/A
Younger - Younger (same gen) - Female - Neutral - Male spk,schema_path,N/A,N/A,N/A
Younger - Younger (same gen) - Female - Neutral - Female spk,schema_path,N/A,N/A,N/A
Younger - Younger (same gen) - Male - Informal - Male spk,schema_path,N/A,N/A,N/A
Younger - Younger (same gen) - Male - Informal - Female spk,schema_path,N/A,N/A,N/A
Younger - Younger (same gen) - Female - Informal - Male spk,schema_path,N/A,N/A,N/A
Younger - Younger (same gen) - Female - Informal - Female spk,schema_path,N/A,N/A,N/A
Older - Older (same gen) - Male - Neutral - Male spk,schema_path,N/A,N/A,N/A
Older - Older (same gen) - Male - Neutral - Female spk,schema_path,N/A,N/A,N/A
Older - Older (same gen) - Female - Neutral - Male spk,schema_path,N/A,N/A,N/A
Older - Older (same gen) - Female - Neutral - Female spk,schema_path,N/A,N/A,N/A
Older - Parents' gen - Male - Neutral - Male spk,schema_path,N/A,N/A,N/A
Older - Parents' gen - Male - Neutral - Female spk,schema_path,N/A,N/A,N/A
Older - Parents' gen - Female - Neutral - Male spk,schema_path,N/A,N/A,N/A
Older - Parents' gen - Female - Neutral - Female spk,schema_path,N/A,N/A,N/A
Older - Grandparents' gen - Male - Neutral - Male spk,schema_path,N/A,N/A,N/A
Older - Grandparents' gen - Male - Neutral - Female spk,schema_path,N/A,N/A,N/A
Older - Grandparents' gen - Female - Neutral - Male spk,schema_path,N/A,N/A,N/A
Older - Grandparents' gen - Female - Neutral - Female spk,schema_path,N/A,N/A,N/A
Older - Exactly same age - Male - Neutral - Male spk,schema_path,N/A,N/A,N/A
Older - Exactly same age - Male - Neutral - Female spk,schema_path,N/A,N/A,N/A
Older - Exactly same age - Female - Neutral - Male spk,schema_path,N/A,N/A,N/A
Older - Exactly same age - Female - Neutral - Female spk,schema_path,N/A,N/A,N/A
Instance_41a5c8,instance,Madarin,我 (wǒ),你 (nǐ)
Instance_771ab7,instance,Cantonese,我 (ngo5),你 (nei5)
Instance_22741d,instance,Teochew,我 (guá),你 (lí)
Instance_7617a6,instance,Nepali,म (ma),तँ (ta) / तिमी (timi)
Instance_218b8f,instance,Urdu,میں,تم (tum)
Instance_743600,instance,Urdu,میں,آپ (aap)
Instance_85139a,instance,Vietnamese,tôi/mình,bạn
Instance_e406a4,instance,Vietnamese,tui,bạn
Instance_b7dc95,instance,Vietnamese,tao,mày
Instance_b4d7d3,instance,Mandarin,我 (wǒ),你 / 小 + name (nǐ / xiǎo)
Instance_a43428,instance,Cantonese,我 (ngo5),細佬 (sai3 lou2)
Instance_8ed4e8,instance,Cantonese,我 (ngo5),細妹 (sai3 mui6)
Instance_8fab65,instance,Teochew,我 (guá),细弟 (sè-tī)
Instance_f2c428,instance,Teochew,我 (guá),细妹 (sè-muē)
Instance_56f31d,instance,Nepali,म (ma),तँ (ta) / तिमी (timi)
Instance_17f42f,instance,Urdu,میں,تم (tum) or تو (tu)
Instance_6ec719,instance,Vietnamese,anh,em
Instance_90885b,instance,Vietnamese,chị,em
Instance_56b7ce,instance,Mandarin,我 (wǒ),哥哥 (gēge)
Instance_d490b4,instance,Mandarin,我 (wǒ),姐姐 (jiějie)
Instance_a713f3,instance,Cantonese,我 (ngo5),哥哥 (go1 go1)
Instance_18b548,instance,Cantonese,我 (ngo5),姐姐 (ze2 ze2)
Instance_aef264,instance,Teochew,我 (guá),阿兄 (a-hiang)
Instance_5c7bfb,instance,Teochew,我 (guá),阿姐 (a-jié)
