concept_id,wn30_id,domain
10,00699207-a,adj.all
100,00041899-n,noun.act
1000,00216038-n,noun.act
10000,01988701-n,noun.animal
100000,01497458-v,verb.contact
100001,01497634-v,verb.contact
100002,01497750-v,verb.contact
100003,01497864-v,verb.contact
100004,01498005-v,verb.contact
100005,01498166-v,verb.contact
100007,01498319-v,verb.contact
100008,01498498-v,verb.contact
100009,01498615-v,verb.contact
10001,01988869-n,noun.animal
100010,01498713-v,verb.contact
100011,01498872-v,verb.contact
100012,01499006-v,verb.contact
100013,01499137-v,verb.contact
100014,01499265-v,verb.contact
100015,01499510-v,verb.contact
100016,01499692-v,verb.contact
100017,01499849-v,verb.contact
100018,01499948-v,verb.contact
100019,01500082-v,verb.contact
10002,01988971-n,noun.animal
100020,01500214-v,verb.contact
100021,01500372-v,verb.contact
100022,01500572-v,verb.contact
100023,01500873-v,verb.contact
100024,01501184-v,verb.contact
100025,01501347-v,verb.contact
100026,01501575-v,verb.contact
100027,01501676-v,verb.contact
100028,01501793-v,verb.contact
100029,01501960-v,verb.contact
10003,01989097-n,noun.animal
100030,01502122-v,verb.contact
100031,01502279-v,verb.contact
100032,01502441-v,verb.contact
100033,01502540-v,verb.contact
100034,01502654-v,verb.contact
100035,01502762-v,verb.contact
100036,01502946-v,verb.contact
100037,01503101-v,verb.contact
100038,01503268-v,verb.contact
100039,01503404-v,verb.contact
10004,01989254-n,noun.animal
100040,01503736-v,verb.contact
100041,01503841-v,verb.contact
100042,01503952-v,verb.contact
100043,01504130-v,verb.contact
100044,01504298-v,verb.contact
100045,01504480-v,verb.contact
100046,01504699-v,verb.contact
100047,01504910-v,verb.contact
100048,01439784-a,adj.all
100049,01505254-v,verb.contact
10005,01989390-n,noun.animal
100050,01505958-v,verb.contact
100051,01506157-v,verb.contact
100052,01506583-v,verb.contact
100053,01506812-v,verb.contact
100054,01507006-v,verb.contact
100055,01507143-v,verb.contact
100056,01507407-v,verb.contact
100057,01507596-v,verb.contact
100058,01507792-v,verb.contact
100059,01507914-v,verb.contact
10006,01989516-n,noun.animal
100060,01508166-v,verb.contact
100061,01508268-v,verb.contact
100062,01508368-v,verb.contact
100063,01508884-v,verb.contact
100064,01509079-v,verb.contact
100065,01509280-v,verb.contact
100066,01509492-v,verb.contact
100067,01509584-v,verb.contact
100068,01509824-v,verb.contact
100069,01509933-v,verb.contact
10007,01989701-n,noun.animal
100070,01510082-v,verb.contact
100071,01510173-v,verb.contact
100072,01510399-v,verb.contact
100073,01510576-v,verb.contact
100074,01510827-v,verb.contact
100075,01511134-v,verb.contact
100076,01511289-v,verb.contact
100077,01511380-v,verb.contact
100078,01511706-v,verb.contact
100079,01512259-v,verb.contact
10008,01989869-n,noun.animal
100080,01512465-v,verb.contact
100081,01512625-v,verb.contact
100082,01512921-v,verb.contact
100083,01513045-v,verb.contact
100084,01513145-v,verb.contact
100085,01513290-v,verb.contact
100086,01513430-v,verb.contact
100087,01513710-v,verb.contact
100088,01513838-v,verb.contact
100089,01513990-v,verb.contact
10009,01990007-n,noun.animal
100090,01514126-v,verb.contact
100091,01514248-v,verb.contact
100092,01514348-v,verb.contact
100093,01514525-v,verb.contact
100094,01514655-v,verb.contact
100095,01514887-v,verb.contact
100096,01515056-v,verb.contact
100097,01515196-v,verb.contact
100098,01515415-v,verb.contact
100099,01515566-v,verb.contact
1001,00216174-n,noun.act
