concept_id,wn30_id,english,urdu,darija,nepali,vietnamese,domain
7183,01460457-n,egg,انڈا | بیضہ,بيض | بيضة,अण्डा | डिम्ब | डिम्बा | डिम्मा,trứng,noun.animal
8906,01792158-n,cock | rooster,خروس | مرغا,فروج,कुखुरो | भाले,gà trống,noun.animal
8910,01792640-n,biddy | hen,ماکیاں | مرغی | مرگی,دْجاجة,कुखुरो,gà mái,noun.animal
9746,01944390-n,snail,گھونگا,بَبُّوش | حلزون‎ | غلالة,सिपी,ốc,noun.animal
11425,02233338-n,cockroach | roach,تل چٹا | تل چٹّا | کاکروچ,سراق الزيت,साँग्लो,gián,noun.animal
12408,02403454-n,cow | moo-cow,بقر | گای | گو | گئو,بقرة,गाई,bò cái,noun.animal
12466,02412440-n,lamb,میمنا,حولي | خروف | خروفة | نعجة,पाठो | बच्चो,cừu con | cừu non,noun.animal
14498,02774630-n,baggage | luggage,بوریابستر | سامان,بكاج,कुटुरो | टोप्ला-टाप्ली | पुन्तुरो | पोको,hành lý | 行李,noun.artifact
14764,02818832-n,bed,بستر | پلنگ,ناموسية,ओछ्यान | खाट,giường,noun.artifact
15004,02858304-n,boat,بحرا | بیڑی | ڈونگا | سفینہ | کشتی | ناو | ناؤ,فلوكة,डुङ्गा | नाउ | नौका,thuyền,noun.artifact
16118,03046257-n,clock,گھڑی,مݣانة,घडी,đồng hồ,noun.artifact
16280,03075097-n,comb,کمگھی | کنگھی,مشطة,काइँयो,lược,noun.artifact
16712,03151077-n,curtain | drape | drapery | mantle | pall,پردہ | چلمن | نقاب,خامية,पट | पर्दा,màn | màn cửa,noun.artifact
17121,03221720-n,door,دروازہ | دوار,باب,ढोका | द्वार,cửa,noun.artifact
17855,03354903-n,flag,جھنڈا | علم,راية,झण्डा,cờ,noun.artifact
18054,03386011-n,fort | fortress,حصار | قلعہ | گڑھ,قلعة,किल्ला | गढ | गढी | दुर्ग,pháo đài,noun.artifact
18226,03416489-n,garage,گراج | گیراج | گیریج,ڭراج,ग्याराज,ga ra | nhà xe,noun.artifact
18969,03540595-n,hospital | infirmary,اسپتال,سبيطار,अस्पताल | चिकित्सालय,bệnh viện | nhà thương | y viện,noun.artifact
18979,03542333-n,hotel,ہوٹل,أوطيل | فندق,होटल,khách sạn | lữ quán | ô ten | 客棧 | 旅館,noun.artifact
19382,03613294-n,key,تالی | چابی,ساروت | مفتاح,साचो,chìa khoá | khoá,noun.artifact
19444,03623556-n,knife,چاقو | چھری,موس,चक्कु,dao,noun.artifact
20293,03773035-n,mirror,آبگین | آرسی | آئینہ | درپن | شیشہ,مراية,अइना | ऐना | दर्पण,gương | kiếng | kính,noun.artifact
20384,03788195-n,mosque,مسجد,جامع | مسجد,मस्जिद,masjid | thánh đường,noun.artifact
20809,03862676-n,oven,تندور,فرّان,चुल्हो,lò | lò nướng,noun.artifact
21259,03938244-n,pillow,بالش | بالیں | تکیا | تکیہ | سرہانا | سرہانہ | گیندوا,خدية | مخدة,तकिया | सिरानी | सिह्रानी,gối,noun.artifact
21652,04005630-n,prison | prison house,بندیگھر | جیل | جیل خانہ | حوالات | زنداں | قید خانہ | قیدخانہ | کاراگار,حبْس,कारागार | कारावास | कैदखाना | जेल | झ्यालखाना | थाना,nhà tù | tù,noun.artifact
22169,04096066-n,road | route,پگڈنڈی | ڈگر | راستہ | راہ | رہگزر | سڑک,طْريق,बाटो | मार्ग | सडक,đường,noun.artifact
22223,04105068-n,roof,چھت,سقف,छत् | छाना | छानो,mái | mái nhà,noun.artifact
22754,04197391-n,shirt,شرٹ | قمیص | قمیض,قميجة,कमीज | शर्ट | सर्ट,sơ mi,noun.artifact
22764,04199027-n,shoe,جوتا | جوتی,سباط,जुत्ता | जूता,giày,noun.artifact
22782,04202417-n,shop | store,دکان | دوکان,حانوت,दोकान | पसल,cửa hàng | hiệu | tiệm,noun.artifact
23107,04254777-n,sock,جوراب | موزا | موزہ,تقاشر | تقشيرة,जुराफ | मोजा,bít tất | tất | vớ,noun.artifact
23219,04272054-n,eyeglasses | glasses | specs | spectacles,آنکھ کاچشمہ | چشمہ | عینک,نضاضر | نظاظر,उपनेत्र | चश्मा | चस्मा,kính | kính mắt | mắt kính,noun.artifact
23297,04284002-n,spoon,چمچ | چمچہ | چمچی,عشقة | معلقة,चमच | चमचा | चम्चा,muỗng | thìa,noun.artifact
23807,04371225-n,natatorium | swimming bath | swimming pool,پیراکی تالاب | تیراکی تالاب | سویمنگ پول | سوئمنگ پول | شناوری تالاب,مسبح,तरणताल | स्वीमींग पुल,bể bơi | hồ bơi,noun.artifact
28220,05216365-n,body | organic structure | physical structure,بدن | پنڈا | تن | جسم | دیہ | ڈیل | شریر,جسم,जिउ | देह | शरीर,cơ thể | mình | người | thân | thân thể | 身體,noun.body
28449,05262185-n,moustache | mustache,بروت | مونچھ,شلغوم,जुँगा | जुंगा | जुङा,râu mép | ria | ria mép,noun.body
