Type,Character,Additional_Form,IPA,Transliteration,Audio
Vowel,ا,-,/ɑ/,alif,alif (ا).m4a
Consonant,ب,-,/b/,bay,bay (ب).m4a
Consonant,پ,-,/p/,pay,pay (پ).m4a
Consonant,ت,-,/t̪/,tay,tay (ت).m4a
Consonant,ٹ,-,/ʈ/,ttay,ttay (ٹ).m4a
Consonant,ث,-,/s/,say,say (ث).m4a
Consonant,ج,-,/ʤ/,jeem,jeem (ج).m4a
Consonant,چ,-,/ʧ/,chay,chay (چ).m4a
Consonant,ح,-,/h/,hay,hay (ح).m4a
Consonant,خ,-,/x/,khay,khay (خ).m4a
Consonant,د,-,/d̪/,daal,daal (د).m4a
Consonant,ڈ,-,/ɖ/,ddal,ddal (ڈ).m4a
Consonant,ذ,-,/z/,zaal,zaal (ذ).m4a
Consonant,ر,-,/r/,ray,ray (ر).m4a
Consonant,ڑ,-,/ɽ/,rray,rray (ڑ).m4a
Consonant,ز,-,/z/,zay,zay (ز).m4a
Consonant,ژ,-,/ʒ/,jay,jay (ژ).m4a
Consonant,س,-,/s/,seen,seen (س).m4a
Consonant,ش,-,/ʃ/,sheen,sheen (ش).m4a
Consonant,ص,-,/s/,suad,suad (ص).m4a
Consonant,ض,-,/z/,zuaad,zuaad (ض).m4a
Consonant,ط,-,/t̪/,tuay,tuay (ط).m4a
Consonant,ظ,-,/z/,zuay,zuay (ظ).m4a
Consonant,ع,-,/ʔ/,ain,ain (ع).m4a
Consonant,غ,-,/ɣ/,ghain,ghain (غ).m4a
Consonant,ف,-,/f/,fay,fay (ف).m4a
Consonant,ق,-,/q/,qaaf,qaaf (ق).m4a
Consonant,ک,-,/k/,kaaf,kaaf (ک).m4a
Consonant,گ,-,/g/,gaaf,gaaf (گ).m4a
Consonant,ل,-,/l/,laam,laam (ل).m4a
Consonant,م,-,/m/,meem,meem (م).m4a
Consonant,ن,-,/n/,noon,noon (ن).m4a
Consonant,ں,-,/◌̃/,noon ghunna,noon ghunna (ں).m4a
Vowel,و,-,/v/ or /uː/,wao,wao (و).m4a
Consonant,ہ,-,/h/,choti hay,choti hay (ہ).m4a
Consonant,ھ,-,/ʰ/,dochashmi hay,dochashmi hay (ھ).m4a
Consonant,ء,-,/ʔ/,hamza,hamza (ء).m4a
Vowel,ی,-,/j/ or /iː/,chooti ye,chooti ye (ی).m4a
Vowel,ے,-,/eː/,bari ye,bari ye (ے).m4a
Diacritic,َ,بَ,/a/,zabar (short a),-
Diacritic,ِ,بِ,/i/,zer (short i),-
Diacritic,ُ,بُ,/u/,pesh (short u),-
Diacritic,ٰ,بٰ,/aː/,khari zabar (long aa),-
Diacritic,ْ,بْ,(no vowel),juzm / sukun (silent),-
Diacritic,ّ,بّ,(doubled),tashdid / shud (consonant doubling),-
